"ID" "TIMESTAMP" "DAY" "DIST" "MAX" "MIN" "MEAN" "MEDIAN"
"20130620-130312" "2013-06-20T13:03:13Z" "Thu" 76.7006511459983 110.1289728312 0 30.3276716479596 29.664329289264
"20130622-143915" "2013-06-22T14:39:16Z" "Sat" 124.716930087843 70.1849194326 0 17.4344143567349 13.942300874364
"20130624-130517" "2013-06-24T13:05:18Z" "Mon" 66.1669967860525 75.8037873672 0 28.8238007868559 31.497311161836
"20130625-132628" "2013-06-25T13:26:29Z" "Tue" 61.8263339172912 79.11303424344 0.10966931262648 27.9812246863777 29.3180615919
"20130627-010812" "2013-06-27T01:08:13Z" "Thu" 45.1202519278848 194.3380314306 0 21.5084465700304 18.804109444938
"20130627-131037" "2013-06-27T13:10:38Z" "Thu" 64.3495769630916 144.44928452844 0 29.8063913033573 32.62978439379
"20130710-130340" "2013-07-10T13:03:41Z" "Wed" 76.3408630861154 72.47316323088 0 28.1615299834657 27.833465282598
"20130711-130042" "2013-07-11T13:00:48Z" "Thu" 77.8911329860695 211.531856175 0.015085128359052 29.4987674903143 28.595576665908
"20130712-130138" "2013-07-12T13:01:51Z" "Fri" 67.3965994294631 94.19238857268 0 26.8940950539361 29.229449762376
"20130713-160014" "2013-07-13T16:00:16Z" "Sat" 94.6675675828843 126.59003580168 0.026034758389764 23.9274510300959 20.908860126714
"20130716-130422" "2013-07-16T13:04:24Z" "Tue" 76.9152858904045 158.4694443726 0 29.3924744404803 29.031225095232
"20130717-130417" "2013-07-17T13:04:18Z" "Wed" 65.8395301620304 130.34041210944 0 28.7658481059506 31.574540877084
"20130718-130400" "2013-07-18T13:04:01Z" "Thu" 77.3257780996286 117.04090637556 0.06323442972372 29.7379576600713 29.29544528319
"20130719-130723" "2013-07-19T13:07:24Z" "Fri" 77.1218198956121 161.51748076224 0 30.0167953414256 29.077299771696
"20130721-143657" "2013-07-21T14:37:03Z" "Sun" 135.956724884896 174.48121364184 0.023981152898916 28.8987499200157 28.2338170578
"20130722-130353" "2013-07-22T13:03:54Z" "Mon" 67.1466787720619 84.82963552416 0 28.2667350090311 31.430628572382
"20130723-130348" "2013-07-23T13:03:57Z" "Tue" 77.0580361859316 174.75890453928 0.015546947799276 30.016886112077 30.35535749514
"20130724-130441" "2013-07-24T13:04:42Z" "Wed" 66.7385446945945 124.32759251472 0 29.3004846877307 32.031428323752
"20130726-005839" "2013-07-26T00:58:41Z" "Fri" 44.8893982660162 103.04518813776 0 23.2730601036083 21.604065772572
"20130727-141231" "2013-07-27T14:12:32Z" "Sat" 193.607732012283 119.57782195404 0 26.9414135258743 26.200719486522
"20130801-010709" "2013-08-01T01:07:12Z" "Thu" 41.6213895612172 240.30187957764 0.11185045341048 22.9598017721959 21.413376401364
"20130802-130725" "2013-08-02T13:07:26Z" "Fri" 65.8777485642644 96.95488336776 0.006361966344384 29.1367621744984 31.391332877088
"20130804-150834" "2013-08-04T15:08:35Z" "Sun" 88.7564807765016 96.06840412248 0 23.5070189041321 20.378400711066
"20130805-130858" "2013-08-05T13:08:59Z" "Mon" 67.1749440360161 120.3479048682 0 28.1697570637646 31.14730225035
"20130806-130645" "2013-08-06T13:06:46Z" "Tue" 76.3716289678817 188.15349770352 0 28.6552058921219 28.434180127104
"20130807-130451" "2013-08-07T13:04:54Z" "Wed" 66.7934210919853 88.79979920544 0 27.7340402618402 30.002162037768
"20130809-233731" "2013-08-09T23:37:32Z" "Sat" 62.450242938576 53.59571049348 0 26.6353086605656 28.603332225396
"20130813-005456" "2013-08-13T00:54:57Z" "Tue" 46.098009094074 102.4768387746 0 21.9903876047566 21.293376701436
"20130813-130804" "2013-08-13T13:08:05Z" "Tue" 66.4962335750217 94.25468990916 0.012480720843132 27.6846243021588 29.950221996558
"20130814-130352" "2013-08-14T13:03:53Z" "Wed" 66.5923161691223 164.93527034388 0 29.3235059062087 31.676387625576
"20130817-144432" "2013-08-17T14:44:38Z" "Sat" 173.396086300955 185.37430748076 0 21.6667949120026 18.169022188674
